,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
110,000001.XSHE,000001,平安银行,XSHE,2021-06-21,22.65,22.65,22.6,22.67,22.01,22.16,71827274,1600119859.95,107788,0.0037,1.0,430031519720,430035147312,-0.0216,14.094,10.6108,1.1541,1,22.277
111,000001.XSHE,000001,平安银行,XSHE,2021-06-22,22.16,22.16,22.38,23.09,22.25,22.97,75775141,1720058046.82,99611,0.0039,1.0,445750180865,445753941054,0.0366,14.6091,10.9987,1.1963,1,22.7
112,000001.XSHE,000001,平安银行,XSHE,2021-06-23,22.97,22.97,22.85,23.41,22.72,23.14,44790778,1035835695.88,55873,0.0023,1.0,449049159130,449052947148,0.0074,14.7173,11.0801,1.2051,1,23.126
113,000001.XSHE,000001,平安银行,XSHE,2021-06-24,23.14,23.14,23.03,23.12,22.68,23.08,39028349,894502108.58,45628,0.002,1.0,447884813860,447888592056,-0.0026,14.6791,11.0513,1.202,1,22.919
114,000001.XSHE,000001,平安银行,XSHE,2021-06-25,23.08,23.08,23.08,23.6,23.06,23.36,55997295,1310287389.9,57775,0.0029,1.0,453318425120,453322249152,0.0121,14.8572,11.1854,1.2166,1,23.399
115,000001.XSHE,000001,平安银行,XSHE,2021-06-28,23.36,23.36,23.36,23.39,22.48,22.78,62625737,1425702202.01,72260,0.0032,1.0,442063087510,442066816596,-0.0248,14.4883,10.9077,1.1864,1,22.765
116,000001.XSHE,000001,平安银行,XSHE,2021-06-29,22.78,22.78,22.58,22.79,22.0,22.34,104974939,2341926371.42,129357,0.0054,1.0,433524555530,433528212588,-0.0193,14.2084,10.697,1.1635,1,22.309
117,000001.XSHE,000001,平安银行,XSHE,2021-06-30,22.34,22.34,22.36,22.93,22.35,22.62,40343546,913285187.1,47085,0.0021,1.0,438958166790,438961869684,0.0125,14.3865,10.8311,1.1781,1,22.638
118,000001.XSHE,000001,平安银行,XSHE,2021-07-01,22.62,22.62,22.81,23.5,22.52,23.2,66483330,1530548798.57,67049,0.0034,1.0,450213504400,450217302240,0.0256,14.7554,11.1088,1.2083,1,23.022
119,000001.XSHE,000001,平安银行,XSHE,2021-07-02,23.2,23.2,22.72,22.74,21.76,21.81,107067756,2360189793.98,127773,0.0055,1.0,423239505645,423243075942,-0.0599,13.8714,10.4432,1.1359,1,22.044
120,000001.XSHE,000001,平安银行,XSHE,2021-07-05,21.81,21.81,21.69,22.15,21.09,22.06,85934129,1859394323.75,86850,0.0044,1.0,428090944270,428094555492,0.0115,14.0304,10.5629,1.1489,1,21.637
121,000001.XSHE,000001,平安银行,XSHE,2021-07-06,22.06,22.06,22.08,23.0,21.85,22.78,79195726,1784792785.57,88299,0.0041,1.0,442063087510,442066816596,0.0326,14.4883,10.9077,1.1864,1,22.536
122,000001.XSHE,000001,平安银行,XSHE,2021-07-07,22.78,22.78,22.68,23.05,22.5,22.55,46894487,1063910095.83,55637,0.0024,1.0,437599763975,437603455410,-0.0101,14.342,10.7976,1.1744,1,22.687
123,000001.XSHE,000001,平安银行,XSHE,2021-07-08,22.55,22.55,22.78,22.78,21.2,21.51,145705947,3140657439.76,159128,0.0075,1.0,417417779295,417421300482,-0.0461,13.6806,10.2996,1.1202,1,21.555
124,000001.XSHE,000001,平安银行,XSHE,2021-07-09,21.51,21.51,21.3,21.63,21.02,21.27,76236474,1625461607.71,79976,0.0039,1.0,412760398215,412763880114,-0.0112,13.5279,10.1847,1.1077,1,21.321
125,000001.XSHE,000001,平安银行,XSHE,2021-07-12,21.27,21.27,21.5,21.5,20.89,21.16,87790102,1859059510.48,86626,0.0045,1.0,410625765220,410629229112,-0.0052,13.458,10.132,1.102,1,21.176
126,000001.XSHE,000001,平安银行,XSHE,2021-07-13,21.16,21.16,21.15,21.34,20.54,21.12,65761395,1382029130.11,72539,0.0034,1.0,409849535040,409852992384,-0.0019,13.4325,10.1128,1.0999,1,21.016
127,000001.XSHE,000001,平安银行,XSHE,2021-07-14,21.12,21.12,21.0,21.0,20.41,20.76,84795055,1755810875.16,96411,0.0044,1.0,402863463420,402866861832,-0.017,13.2036,9.9405,1.0812,1,20.707
128,000001.XSHE,000001,平安银行,XSHE,2021-07-15,20.76,20.76,20.72,21.72,20.63,21.62,95600305,2040266258.59,94174,0.0049,1.0,419552412290,419555951484,0.0414,13.7505,10.3522,1.126,1,21.342
129,000001.XSHE,000001,平安银行,XSHE,2021-07-16,21.62,21.62,21.41,21.82,21.3,21.34,57300261,1230180813.02,63408,0.003,1.0,414118801030,414122294388,-0.013,13.5724,10.2182,1.1114,1,21.469
130,000001.XSHE,000001,平安银行,XSHE,2021-07-19,21.34,21.34,21.36,21.43,20.78,21.21,52213595,1098434741.86,53098,0.0027,1.0,411596052945,411599525022,-0.0061,13.4898,10.1559,1.1046,1,21.037
131,000001.XSHE,000001,平安银行,XSHE,2021-07-20,21.21,21.21,21.1,21.2,20.47,20.6,80403433,1665315545.53,81690,0.0041,1.0,399758542700,399761914920,-0.0288,13.1018,9.8638,1.0728,1,20.712
132,000001.XSHE,000001,平安银行,XSHE,2021-07-21,20.6,20.6,20.58,20.8,20.2,20.45,75307652,1535327561.83,86355,0.0039,1.0,396847679525,396851027190,-0.0073,13.0064,9.792,1.065,1,20.387
133,000001.XSHE,000001,平安银行,XSHE,2021-07-22,20.45,20.45,20.45,20.66,20.24,20.38,86864809,1773999331.02,76968,0.0045,1.0,395489276710,395492612916,-0.0034,12.9619,9.7585,1.0614,1,20.423
134,000001.XSHE,000001,平安银行,XSHE,2021-07-23,20.38,20.38,20.38,20.38,20.0,20.1,72740433,1461467511.79,76204,0.0037,1.0,390055665450,390058955820,-0.0137,12.7838,9.6244,1.0468,1,20.092
135,000001.XSHE,000001,平安银行,XSHE,2021-07-26,20.1,20.1,19.96,19.99,18.43,18.8,145130394,2770236696.29,143868,0.0075,1.0,364828184600,364831262160,-0.0647,11.957,9.002,0.9791,1,19.088
136,000001.XSHE,000001,平安银行,XSHE,2021-07-27,18.8,18.8,18.87,18.99,17.6,17.76,135755148,2461708369.84,135237,0.007,1.0,344646199920,344649107232,-0.0553,11.2955,8.504,0.9249,1,18.133
137,000001.XSHE,000001,平安银行,XSHE,2021-07-28,17.76,17.76,17.85,18.07,17.68,17.75,106299421,1898562591.76,95376,0.0055,1.0,344452142375,344455048050,-0.0006,11.2892,8.4992,0.9244,1,17.861
138,000001.XSHE,000001,平安银行,XSHE,2021-07-29,17.75,17.75,17.91,18.24,17.78,17.96,87237812,1566107824.4,72963,0.0045,1.0,348527350820,348530290872,0.0118,11.4227,8.5997,0.9354,1,17.952
139,000001.XSHE,000001,平安银行,XSHE,2021-07-30,17.96,17.96,17.92,18.05,17.24,17.69,95015588,1679747318.28,83867,0.0049,1.0,343287797105,343290692958,-0.015,11.251,8.4705,0.9213,1,17.679
140,000001.XSHE,000001,平安银行,XSHE,2021-08-02,17.69,17.69,17.64,18.14,17.18,18.01,115992263,2056014242.91,106318,0.006,1.0,349497638545,349500586782,0.0181,11.4545,8.6237,0.938,1,17.725
141,000001.XSHE,000001,平安银行,XSHE,2021-08-03,18.01,18.01,17.99,18.15,17.66,17.89,89694857,1609422575.43,75660,0.0046,1.0,347168948005,347171876598,-0.0067,11.3782,8.5662,0.9317,1,17.943
142,000001.XSHE,000001,平安银行,XSHE,2021-08-04,17.89,17.89,18.04,18.07,17.6,17.81,72962008,1300164293.35,69207,0.0038,1.0,345616487645,345619403142,-0.0045,11.3273,8.5279,0.9275,1,17.82
143,000001.XSHE,000001,平安银行,XSHE,2021-08-05,17.81,17.81,17.7,18.05,17.58,17.68,62157388,1104903004.7,62354,0.0032,1.0,343093739560,343096633776,-0.0073,11.2446,8.4657,0.9208,1,17.776
144,000001.XSHE,000001,平安银行,XSHE,2021-08-06,17.68,17.68,17.55,17.9,17.45,17.86,56745413,1005870948.8,57055,0.0029,1.0,346586775370,346589699052,0.0102,11.3591,8.5519,0.9301,1,17.726
